CODE_INSEE,REF_CADAST
34194,AZ0215
34165,0G0307
34129,CX0011
34051,0C0621
34332,0F0832
34165,0F0624
34162,AL0280
34003,MI0072
34181,B20770
34333,AZ0097
34333,AZ0090
34033,AE0087
34108,BH0238
34146,0E0294
34333,AZ0089
34333,AZ0104
34129,BX0161
34023,AE0467
34239,0H1570
34270,AD0146
34010,0E1441
34108,BM0117
34114,0E0316
34165,0E0110
34114,0E0235
34336,BT0058
34336,0E0012
34032,IV0104
34151,0A0148
34129,CY0373
34162,AK0108
34244,0C0009
34176,AR0093
34003,AM0006
34199,AV0808
34114,0C0538
34297,0D0633
34151,0I0428
34344,AD0016
34157,CB0095
34289,0C0670
34003,MK0338
34027,AD0257
34157,BK0063
34172,0H0092
34150,DD0038
34145,MA0045
34033,AE0756
34088,BE0087
34114,0E1443
34113,AI0030
34165,0E0022
34114,0A3798
34172,HZ0062
34301,BN0530
34003,0C0095
34172,BY0050
34154,DL0269
34165,AE0049
34022,AO0331
34021,AP0353
34031,AZ0023
34192,BN0159
34146,AM0182
34157,0D0061
34081,0A0585
34172,0K0213
34172,0N0019
34088,BE0023
34172,CK0510
34172,MY0014
34087,0B0091
34270,AB0063
34172,SK0325
34242,AV0037
34057,BH0158
34172,BL0348
34095,AI0308
34239,0G0179
34270,BS0043
34150,EM0155
34344,CD0059
34163,0D0090
34163,0E0469
34172,0K0076
34276,0O0247
34143,0N1521
34172,AK0132
34167,0B0116
34337,AT0396
34172,EL0445
34101,0D2812
34171,0E1019
34003,HB0077
34003,MT0484
34178,0A00I5
34078,0C1124
34237,AB0698
34154,0D0150
34172,PD0031
34344,0B0137
34163,0D1392
34172,H00018
34249,AH0270
34344,0B0109
34017,AK0100
34172,0L0049
34172,0K0011
34172,0C0012
34003,ML0047
34003,0C0033
34270,AN0011
34114,0F0498
34153,0B0912
34172,0E0008
34172,PK0122
34337,BD0247
34153,0A0055
34151,0I0257
34134,BH000I
34003,MT0370
34154,0C0536
34172,BW0183
34172,DT0210
34150,EM0182
34270,AT0127
34213,AN0001
34014,0A1234
34172,CR0103
34096,0A0060
34172,PK0120
34179,0A2274
34172,EC0023
34163,0C1525
34163,0C0066
34163,0D1233
34301,AP0436
34210,0F0600
34074,BK0560
34286,0C0721
34239,0C0345
34078,0E1476
34031,BC3007
34299,0B0016
34179,0B0876
34172,0A0006
34032,EH0023
34003,HD0089
34172,0N0019
34095,KM0178
34003,0C0037
34003,BE0096
34009,WV0194
34172,0A0030
34172,0H0083
34172,0A0026
34165,BA0001
34172,0A0022
34074,BK0560
34199,AW0020
34162,BH0146
34336,BH0112
34337,AL0229
34163,0C1003
34172,0A0032
34172,HV0048
34172,0A0024
34172,0A0005
34172,0A0005
34154,CX0070
34147,0I0271
34270,AM0020
34060,CO1336
34039,AM0263
34172,0A0005
34172,0A0005
34172,0A0029
34172,0A0005
34336,HA0010
34337,AT0304
34290,AE0168
34332,AZ0136
34076,AN0020
34154,CX0400
34179,0A2296
34143,BD0055
34172,TY0106
34154,DM0072
34337,Al0562
34299,TY0106
34150,EC0004
34242,0O0861
34233,CD0142
34246,AD0300
34108,BX0066
34172,0A0005
34213,BH0013
34150,BH0096
34270,AN0045
34179,AO2296
34099,0B0381
34153,0B0912
34050,AD0025
34050,AD0025
34050,AD0025
34050,AD0025
34050,AD0025
34050,AD0025
34050,AD0025
34050,AD0025
34050,AD0002
34050,AD0025
34050,AD0025
34050,AD0025
34050,AD0025
34050,AD0025
34050,AD0025
34050,AD0025
34050,AD0025
34050,AD0025
34307,0A1987
34143,AD0960
34172,0L0045
34242,0C1373
34336,BD0185
34127,BI0007
34079,BW0073
34172,0A0005
34172,HTO165
34265,0B0253
34150,0O0046
34194,AB0080
34150,DD0038
34270,AB0063
34300,0O0108
34284,AO0192
34162,AN0110
34289,AC0171
34032,0Z0587
34151,0D0256
34172,0A0018
34108,BH0503
34095,CL0069
34040,B00142
34299,A00069
34172,LR0029
34213,AB0228
34154,DD0062
34163,0C1024
34031,AS0103
34172,0L0045
34172,0N0051
34402,AP0119
34127,AC0130
34150,0D0O61
34079,CA0036
34172,0P0106
34332,AX0098
34058,BC0069
34058,BH0064
34202,0B0063
34172,0A0018
34145,0C0059
34031,BCO125
34088,BA0256
34145,AA0417
34328,0DO183
34089,BB0042
34088,BB0175
34088,BB0176
34151,OC1623
34028,AS0081
342545,AI0297
34202,B0A024
,AM0077 
34107,OG0457
34239,BN0124
34052,OI0815
34150,BH0106
34032,CY0482
34165,BE0124
